lemma,poscode,surface
Cognome,3,Cognome
ABATANGELO,3,ABATANGELO
ABATECOLA,3,ABATECOLA
ABBA',3,ABBA'
ABBATANGELO,3,ABBATANGELO
ABBATECOLA,3,ABBATECOLA
ABBIATI,3,ABBIATI
ABBONDI,3,ABBONDI
ABELLI,3,ABELLI
ABRAM,3,ABRAM
ABRIONI,3,ABRIONI
ACARDI,3,ACARDI
ACCARDO,3,ACCARDO
ACCIAI,3,ACCIAI
ACCIARI,3,ACCIARI
ACCORSI,3,ACCORSI
ACCURSIO,3,ACCURSIO
ACERBIS,3,ACERBIS
ACERRA,3,ACERRA
ACONE,3,ACONE
ACQUAFREDDA,3,ACQUAFREDDA
ACQUAVIVA,3,ACQUAVIVA
ACQUISTO,3,ACQUISTO
ADAMI,3,ADAMI
ADAMOLI,3,ADAMOLI
ADDARIO,3,ADDARIO
ADIMARI,3,ADIMARI
AFRICANI,3,AFRICANI
AGASSI,3,AGASSI
AGATE,3,AGATE
AGAZZINI,3,AGAZZINI
AGAZZONI,3,AGAZZONI
AGIRMO,3,AGIRMO
AGLIETTI,3,AGLIETTI
AGNELLO,3,AGNELLO
AGNUSDEI,3,AGNUSDEI
AGOSTI,3,AGOSTI
AGOSTINI,3,AGOSTINI
AGRATI,3,AGRATI
AGRESTI,3,AGRESTI
AGUNIANO,3,AGUNIANO
AGUSTO,3,AGUSTO
AIANA,3,AIANA
AIELLO,3,AIELLO
AIMONI,3,AIMONI
AIRALDI,3,AIRALDI
AIROLDI,3,AIROLDI
AIUTI,3,AIUTI
AJELLO,3,AJELLO
AJOLFI,3,AJOLFI
ALAIMO,3,ALAIMO
ALAMPI,3,ALAMPI
ALASIA,3,ALASIA
ALBANESI,3,ALBANESI
ALBANO,3,ALBANO
ALBERI,3,ALBERI
ALBERO,3,ALBERO
ALBERTARIO,3,ALBERTARIO
ALBERTINI,3,ALBERTINI
ALBINI,3,ALBINI
ALBIS,3,ALBIS
ALBONI,3,ALBONI
ALBRICCI,3,ALBRICCI
ALBRIZI,3,ALBRIZI
ALCAINI,3,ALCAINI
ALDERICI,3,ALDERICI
ALDERISIO,3,ALDERISIO
ALDOVRANDO,3,ALDOVRANDO
ALDUINO,3,ALDUINO
ALEMANNI,3,ALEMANNI
ALEPPI,3,ALEPPI
ALESCI,3,ALESCI
ALESINA,3,ALESINA
ALESSANDRI,3,ALESSANDRI
ALESSANDRO,3,ALESSANDRO
ALESSIO,3,ALESSIO
ALFANO,3,ALFANO
ALFIERI,3,ALFIERI
ALGHISI,3,ALGHISI
ALI',3,ALI'
ALIERI,3,ALIERI
ALIMENA,3,ALIMENA
ALINEI,3,ALINEI
ALIOTO,3,ALIOTO
ALLAMANI,3,ALLAMANI
