lemma,poscode,surface
Adriana,3,Adriana
Agata,3,Agata
Agrippina,3,Agrippina
Afrodite,3,Afrodite
Agape,3,Agape
Abia,3,Abia
Abigail,3,Abigail
Aglaia,3,Aglaia
Addolorata,3,Addolorata
Agea,3,Agea
Agnese,3,Agnese
Adelma,3,Adelma
Anella,3,Anella
Alba,3,Alba
Aide,3,Aide
Abbondanza,3,Abbondanza
Aldemara,3,Aldemara
Adelia,3,Adelia
Adalberta,3,Adalberta
Alina,3,Alina
Alessandra,3,Alessandra
Aida,3,Aida
Allegra,3,Allegra
Alessia,3,Alessia
Achillea,3,Achillea
Alida,3,Alida
Alidea,3,Alidea
Adelaide,3,Adelaide
Albina,3,Albina
Alberta,3,Alberta
Adelina,3,Adelina
Amanda,3,Amanda
Amata,3,Amata
Adelfa,3,Adelfa
Alicia,3,Alicia
Abela,3,Abela
Agostina,3,Agostina
Amaranta,3,Amaranta
Ambra,3,Ambra
Alcina,3,Alcina
Alda,3,Alda
Ausilia,3,Ausilia
Acilia,3,Acilia
Amalia,3,Amalia
Amelia,3,Amelia
Adelasia,3,Adelasia
Azzurra,3,Azzurra
Achiropita,3,Achiropita
Adalia,3,Adalia
Anastasia,3,Anastasia
Andreina,3,Andreina
Adria,3,Adria
Angela,3,Angela
Adalgisa,3,Adalgisa
Alice,3,Alice
Angelica,3,Angelica
Alfonsina,3,Alfonsina
Alma,3,Alma
Altea,3,Altea
Anisia,3,Anisia
Ada,3,Ada
Adele,3,Adele
Anita,3,Anita
Anna,3,Anna
Annachiara,3,Annachiara
Annalaura,3,Annalaura
Annamaria,3,Annamaria
Annabella,3,Annabella
Antea,3,Antea
Annunziata,3,Annunziata
Anselma,3,Anselma
Antonella,3,Antonella
Antonietta,3,Antonietta
Antonia,3,Antonia
Apollonia,3,Apollonia
Apollonia,3,Apollonia
Arabella,3,Arabella
Ariela,3,Ariela
Aretusa,3,Aretusa
Artemia,3,Artemia
Argea,3,Argea
Artemisia,3,Artemisia
Asia,3,Asia
Arianna,3,Arianna
Assunta,3,Assunta
Aurea,3,Aurea
Aurelia,3,Aurelia
Aura,3,Aura
Aurora,3,Aurora
Augusta,3,Augusta
Maschili,3,Maschili
Aldo,3,Aldo
Adamo,3,Adamo
Aceste,3,Aceste
Antimo,3,Antimo
Agostino,3,Agostino
Alfeo,3,Alfeo
Acilio,3,Acilio
Alessio,3,Alessio
Abaco,3,Abaco
Agamennone,3,Agamennone
Albino,3,Albino
Alfiero,3,Alfiero
Adelasio,3,Adelasio
Alderico,3,Alderico
Abramo,3,Abramo
Alberico,3,Alberico
Alessandro,3,Alessandro
Adriano,3,Adriano
Abbondio,3,Abbondio
Alceo,3,Alceo
Amabile,3,Amabile
Adone,3,Adone
Alvaro,3,Alvaro
Amedeo,3,Amedeo
Alcide,3,Alcide
Aldemaro,3,Aldemaro
Abelardo,3,Abelardo
Abele,3,Abele
Alfio,3,Alfio
Ambrogio,3,Ambrogio
Alduino,3,Alduino
Amato,3,Amato
Aidano,3,Aidano
Adelmo,3,Adelmo
Amerigo,3,Amerigo
Acrisio,3,Acrisio
Augusto,3,Augusto
Anatolio,3,Anatolio
Ademaro,3,Ademaro
Altiero,3,Altiero
Aniceto,3,Aniceto
Alfonso,3,Alfonso
Achille,3,Achille
Amaranto,3,Amaranto
Annibale,3,Annibale
Agapito,3,Agapito
Antonio,3,Antonio
Alonzo,3,Alonzo
Amelio,3,Amelio
Amando,3,Amando
Atanasio,3,Atanasio
Agrippino,3,Agrippino
Angelo,3,Angelo
Antonello,3,Antonello
Adalbero,3,Adalbero
Ascanio,3,Ascanio
Apollo,3,Apollo
Alfredo,3,Alfredo
Antonino,3,Antonino
Albano,3,Albano
Adolfo,3,Adolfo
Anacleto,3,Anacleto
Apollonio,3,Apollonio
Amleto,3,Amleto
Antioco,3,Antioco
Amanzio,3,Amanzio
Aiace,3,Aiace
Arcangelo,3,Arcangelo
Adalgiso,3,Adalgiso
Alceste,3,Alceste
Ansano,3,Ansano
Adelfo,3,Adelfo
Adelmiro,3,Adelmiro
Arturo,3,Arturo
Anselmo,3,Anselmo
Adelio,3,Adelio
Arcibaldo,3,Arcibaldo
Aurelio,3,Aurelio
Alberto,3,Alberto
Ariele,3,Ariele
Aimone,3,Aimone
Andrea,3,Andrea
Anastasio,3,Anastasio
Amos,3,Amos
Alarico,3,Alarico
Ariosto,3,Ariosto
Aristide,3,Aristide
Anteo,3,Anteo
Arnoldo,3,Arnoldo
Barbara,3,Barbara
Berenice,3,Berenice
Bella,3,Bella
Batilda,3,Batilda
Benedetta,3,Benedetta
Basilia,3,Basilia
Bea,3,Bea
Biancamaria,3,Biancamaria
Bruna,3,Bruna
Beatrice,3,Beatrice
Brigida,3,Brigida
Barbarella,3,Barbarella
Bartolomea,3,Bartolomea
Brunilde,3,Brunilde
Bibiana,3,Bibiana
Benilde,3,Benilde
Benvenuta,3,Benvenuta
Betta,3,Betta
Belinda,3,Belinda
Briseide,3,Briseide
Belilde,3,Belilde
Bianca,3,Bianca
Berta,3,Berta
Bernarda,3,Bernarda
Belilde,3,Belilde
Maschili,3,Maschili
Bartolomeo,3,Bartolomeo
Battista,3,Battista
Basilio,3,Basilio
Basileo,3,Basileo
Benedetto,3,Benedetto
Baldovino,3,Baldovino
Bacco,3,Bacco
Bernardo,3,Bernardo
Bertoldo,3,Bertoldo
